anno giovani adulti
1952 68 56
1953 77 62
1954 299 445
1955 220 279
1956 142 138
1957 287 428
1958 276 319
1959 115 102
1960 64 51
1961 206 289
1962 222 351
1963 205 282
1964 233 310
1965 228 266
1966 188 256
1967 132 144
1968 285 447
1969 188 186
1970 224 389
1971 121 113
1972 311 412
1973 166 176
1974 248 313
1975 161 162
1976 226 368
1977 67 54
1978 201 214
1979 267 429
1980 121 115
1981 301 407
1982 244 265
1983 222 301
1984 195 234
1985 203 229
1986 210 270
1987 275 478
1988 286 419
1989 275 490 
1990 304 430
1991 214 235
